genre,url
"[Sports, Alternative, Individual, Biking, Biking]",mat-hoffmans-pro-bmx
"[Action, Platformer, Platformer, 2D, 2D]",max-the-magic-marker
"[Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade]",max-payne
"[Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade]",max-payne-2-the-fall-of-max-payne
"[Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade]",max-payne-3
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",maximum-capacity-hotel-giant
"[Sports, Miscellaneous, Parlor, Individual, Billiards, Billiards]",maximum-pool
"[Strategy, General]",mayan-death-robots
"[Strategy, General, General]",mayday
"[Adventure, General, General]",mcpixel
"[Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade]",mdk2
"[Action, Shooter, Shooter, Third-Person, Sci-Fi, Arcade]",mdk2-hd
"[Strategy, General, General]",mechcommander-2
"[Simulation, Sci-Fi, Vehicle, Mech, Combat]",mechwarrior-4-black-knight-expansion
"[Simulation, Sci-Fi, Vehicle, Mech, Mech, Combat]",mechwarrior-4-mercenaries
"[Simulation, Sci-Fi, Vehicle, Mech, Combat]",mechwarrior-4-vengeance
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade]",mechwarrior-online
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",medal-of-honor
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",medal-of-honor-airborne
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",medal-of-honor-allied-assault
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",medal-of-honor-allied-assault---breakthrough
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",medal-of-honor-allied-assault---spearhead
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",medal-of-honor-pacific-assault
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Modern, Arcade]",medal-of-honor-warfighter
"[Strategy, Real-Time, Fantasy, General]",medieval-conquest
"[Strategy, Real-Time, Historic, General]",medieval-ii-total-war
"[Strategy, Real-Time, Historic, General]",medieval-ii-total-war-kingdoms
"[Strategy, City Building, Management, Historic, Government]",medieval-lords-build-defend-expand
"[Strategy, Real-Time, Historic, General, Historic]",medieval-total-war
"[Strategy, Real-Time, Historic, General, Historic]",medieval-total-war---viking-invasion
"[Action, Platformer, 2D]",mega-coin-squad
"[Miscellaneous, Compilation]",mega-man-legacy-collection
"[Adventure, General, General]",megabyte-punch
"[Strategy, Action Adventure, Turn-Based, Linear, Tactics]",megamagic-wizards-of-the-neon-age
"[Action, Platformer, 2D]",mekazoo
"[Action, Fighting, 2D]",melty-blood-actress-again-current-code
"[Adventure, First-Person, Modern, Modern]",memento-mori
"[Adventure, General]",memento-mori-2
"[Adventure, Point-and-Click]",memoranda
"[Adventure, General, General, Point-and-Click]",memoria
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",men-of-valor
"[Strategy, Real-Time, Historic, General, Historic]",men-of-war
