genre,url
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",car-tycoon
"[Strategy, Miscellaneous, General, Board / Card Game]",card-hunter
"[Strategy, General]",card-hunter-2013
"[Action, Adventure, General, General, Platformer, 2D]",cargo-commander
"[Miscellaneous, Action Adventure, Fantasy, General, General, Fantasy]",cargo!-the-quest-for-gravity
"[Simulation, Driving, Car Combat, Car Combat, Vehicle, Combat]",carmageddon-3-tdr-2000
"[Driving, Car Combat, Car Combat, Simulation, Vehicle, Combat]",carmageddon-reincarnation
"[Strategy, Tycoon]",carnival-cruise-line-tycoon-2005-island-hopping
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",carnivores-cityscape
"[Action, General, General]",carnivores-ice-age
"[Adventure, 3D, First-Person, Sci-Fi, Sci-Fi]",carrier-command-gaea-mission
"[Driving, Racing, Mission-based, Arcade, Mission-based, Automobile]",cars
"[Driving, Racing, General, General]",cars-2-the-video-game
"[Simulation, General, General]",cart-life
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy]",cartoon-network-universe-fusionfall
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",casino-empire
"[Strategy, Tycoon, Tycoon]",casino-mogul
"[Strategy, Tycoon]",casino-tycoon
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",casino-inc
"[Action, Platformer, 2D]",cast-of-the-seven-godsends
"[Action, Platformer, 2D]",castle-in-the-darkness
"[Strategy, General, General]",castlestorm
"[Action Adventure, Fantasy, General, Fantasy]",castlevania-lords-of-shadow-2
"[Action Adventure, Fantasy, General, Fantasy]",castlevania-lords-of-shadow-ultimate-edition
"[Role-Playing, Action RPG]",cat-quest
"[Action Adventure, Modern, General, Modern]",catwoman-2004
"[Action, Platformer, Platformer, 2D, 2D]",cave-story-plus
"[Adventure, General]",cayne
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",cellfactor-revolution
"[Strategy, Real-Time, Historic, General, Historic]",celtic-kings-rage-of-war
"[Strategy, Real-Time, Command]",ceres
"[Adventure, General, General, Point-and-Click]",ceville
"[Strategy, Real-Time, General]",champions-of-anteria
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi]",champions-online
"[Sports, Traditional, Team, Soccer, Management, Management]",championship-manager-2008
"[Sports, Alternative, Individual, Surfing, Surfing, Surf / Wakeboard]",championship-surfer
"[Role-Playing, Action RPG, Action RPG]",chantelise-a-tale-of-two-sisters
"[Strategy, Real-Time, Fantasy]",chaos-league-sudden-death
"[Action Adventure, Fantasy, General, Fantasy]",chaos-legion
"[Adventure, General, General]",chaos-on-deponia
"[Strategy, Turn-Based, Sci-Fi, General]",chaos-overlords
"[Fantasy, Strategy, Turn-Based, General]",chaos-reborn
"[Action, Platformer, 2D]",chariot
"[Action Adventure, Modern, General, Modern]",charlie-and-the-chocolate-factory
"[Board Games, Miscellaneous, Board Games, Board / Card Game]",check-vs-mate
"[Miscellaneous, Board Games, Board / Card Game]",chess-2-the-sequel
"[Miscellaneous, Board Games, Board Games]",chessmaster-10th-edition
"[Action, Miscellaneous, General, General, Board / Card Game]",chessmaster-8000
"[Miscellaneous, Board Games, Board Games, Board / Card Game]",chessmaster-9000
"[Miscellaneous, Board Games, Board Games, Board / Card Game]",chessmaster-grandmaster-edition
"[Action, Action Adventure, General, General]",chicken-run
"[Action, Role-Playing, General, General]",child-of-light
"[Puzzle, General]",chime-sharp
"[Action, General, General]",chivalry-deadliest-warrior
"[Action, Strategy, General, General, General]",chivalry-medieval-warfare
"[Action, General, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Vertical]",choplifter-hd
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",chris-sawyers-locomotion
"[Strategy, Turn-Based, Tactics]",chroma-squad
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",chrome
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",chrome-specforce
"[Strategy, Miscellaneous, Turn-Based, Card Battle]",chronicle-runescape-legends
